Fool Fool Fool
Fool Magician Hierophant
Fool Priestess Justice
Fool Empress Fortune
Fool Emperor Chariot
Fool Hierophant Hermit
Fool Lovers Priestess
Fool Chariot Emperor
Fool Justice Lovers
Fool Hermit Priestess
Fool Fortune Justice
Fool Strength HangedMan
Fool HangedMan Magician
Fool Death Strength
Fool Temperance Hierophant
Fool Devil Hermit
Fool Tower Moon
Fool Star Judgement
Fool Moon Fortune
Fool Sun Empress
Fool Judgement Star
Magician Magician Magician
Magician Priestess Lovers
Magician Empress HangedMan
Magician Emperor Temperance
Magician Hierophant Hermit
Magician Lovers Emperor
Magician Chariot Devil
Magician Justice Hierophant
Magician Hermit Chariot
Magician Fortune Emperor
Magician Strength null
Magician HangedMan Devil
Magician Death null
Magician Temperance Death
Magician Devil Temperance
Magician Tower Empress
Magician Star Empress
Magician Moon Priestess
Magician Sun Empress
Magician Judgement Death
Priestess Priestess Priestess
Priestess Empress Lovers
Priestess Emperor Justice
Priestess Hierophant Chariot
Priestess Lovers Magician
Priestess Chariot Magician
Priestess Justice Lovers
Priestess Hermit Strength
Priestess Fortune Magician
Priestess Strength Hermit
Priestess HangedMan Strength
Priestess Death Emperor
Priestess Temperance Empress
Priestess Devil null
Priestess Tower null
Priestess Star Judgement
Priestess Moon Star
Priestess Sun Star
Priestess Judgement Empress
Empress Empress Empress
Empress Emperor Lovers
Empress Hierophant Priestess
Empress Lovers Fortune
Empress Chariot Devil
Empress Justice Emperor
Empress Hermit Lovers
Empress Fortune Strength
Empress Strength Chariot
Empress HangedMan Chariot
Empress Death Lovers
Empress Temperance Lovers
Empress Devil Lovers
Empress Tower Chariot
Empress Star Temperance
Empress Moon Lovers
Empress Sun Lovers
Empress Judgement null
Emperor Emperor Emperor
Emperor Hierophant Chariot
Emperor Lovers Chariot
Emperor Chariot Hermit
Emperor Justice Devil
Emperor Hermit Strength
Emperor Fortune null
Emperor Strength HangedMan
Emperor HangedMan Hermit
Emperor Death Moon
Emperor Temperance HangedMan
Emperor Devil null
Emperor Tower null
Emperor Star Justice
Emperor Moon null
Emperor Sun Empress
Emperor Judgement Hierophant
Hierophant Hierophant Hierophant
Hierophant Lovers Magician
Hierophant Chariot Justice
Hierophant Justice Chariot
Hierophant Hermit Chariot
Hierophant Fortune Emperor
Hierophant Strength Priestess
Hierophant HangedMan Lovers
Hierophant Death Empress
Hierophant Temperance Strength
Hierophant Devil null
Hierophant Tower Temperance
Hierophant Star Priestess
Hierophant Moon Temperance
Hierophant Sun Temperance
Hierophant Judgement Lovers
Lovers Lovers Lovers
Lovers Chariot Emperor
Lovers Justice Chariot
Lovers Hermit Justice
Lovers Fortune Magician
Lovers Strength Hierophant
Lovers HangedMan Hermit
Lovers Death Devil
Lovers Temperance Priestess
Lovers Devil Strength
Lovers Tower Star
Lovers Star Hierophant
Lovers Moon Empress
Lovers Sun Hierophant
Lovers Judgement Lovers
Chariot Chariot Chariot
Chariot Justice Magician
Chariot Hermit Temperance
Chariot Fortune Strength
Chariot Strength Justice
Chariot HangedMan Fortune
Chariot Death null
Chariot Temperance Death
Chariot Devil HangedMan
Chariot Tower Moon
Chariot Star null
Chariot Moon Fortune
Chariot Sun null
Chariot Judgement null
Justice Justice Justice
Justice Hermit Priestess
Justice Fortune Chariot
Justice Strength Temperance
Justice HangedMan Priestess
Justice Death Moon
Justice Temperance Moon
Justice Devil null
Justice Tower Star
Justice Star Emperor
Justice Moon null
Justice Sun Emperor
Justice Judgement Judgement
Hermit Hermit Hermit
Hermit Fortune Emperor
Hermit Strength Fortune
Hermit HangedMan Fortune
Hermit Death null
Hermit Temperance HangedMan
Hermit Devil Death
Hermit Tower null
Hermit Star Chariot
Hermit Moon Magician
Hermit Sun null
Hermit Judgement null
Fortune Fortune Fortune
Fortune Strength null
Fortune HangedMan Strength
Fortune Death null
Fortune Temperance Lovers
Fortune Devil Moon
Fortune Tower Moon
Fortune Star Moon
Fortune Moon Chariot
Fortune Sun Temperance
Fortune Judgement null
Strength Strength Strength
Strength HangedMan Hermit
Strength Death HangedMan
Strength Temperance Moon
Strength Devil Fortune
Strength Tower Devil
Strength Star Priestess
Strength Moon HangedMan
Strength Sun Priestess
Strength Judgement HangedMan
HangedMan HangedMan HangedMan
HangedMan Death Devil
HangedMan Temperance Hierophant
HangedMan Devil Moon
HangedMan Tower Death
HangedMan Star Strength
HangedMan Moon Empress
HangedMan Sun null
HangedMan Judgement null
Death Death Death
Death Temperance null
Death Devil null
Death Tower null
Death Star null
Death Moon Star
Death Sun null
Death Judgement null
Temperance Temperance Temperance
Temperance Devil Death
Temperance Tower Devil
Temperance Star Moon
Temperance Moon Empress
Temperance Sun Star
Temperance Judgement Moon
Devil Devil Devil
Devil Tower null
Devil Star null
Devil Moon null
Devil Sun null
Devil Judgement null
Tower Tower Tower
Tower Star null
Tower Moon Fortune
Tower Sun null
Tower Judgement Judgement
Star Star Star
Star Moon Death
Star Sun Justice
Star Judgement Temperance
Moon Moon Moon
Moon Sun Temperance
Moon Judgement null
Sun Sun Sun
Sun Judgement Star
Judgement Judgement
